PopularName,SchoolId,Classification,ProperName,NickName,matches
windsor sandwich (cn),6172,,sandwich hs,,
windsor walkerville (cn),6173,,walkerville hs,,
windsor assumption (cn),6174,,windsor assumption hs,,
olmsted falls (oh),6175,,olmsted falls hs,,
windsor lowe (cn),6176,,lowe hs,,
plymouth (in),6177,,plymouth hs,,"arts academy in the woods, plymouth high school"
fort wayne homestead (in),6178,,homestead hs,,
gary calumet  (in),6179,,calumet hs,,
rib lake-prentice (wi),6180,,rib lake/prentice hs,,"ackerson lake community education, houghton lake community education"
mt calvary st lawrence seminary (wi),6181,,st lawrence seminary hs,,"link learning st louis, st clair high school"
bunker hill maconaquah (in),6182,,maconaquah hs,,hill center
walton lewis cass (in),6183,,lewis cass hs,,
calumet city thornton fractional north (il),6184,,thornton fractional north hs,Meteors,"bay city adult educationctp, bay city central high school"
hammond gavit (in),6185,,hammond gavit hs,,
barrie north collegiate (cn),6186,,north collegiate hs,Vikings,"detroit collegiate preparatory high school at northwestern, high school north"
barrie innisdale (cn),6187,,innisdale hs,,
orillia park st collegiate (cn),6188,,park st collegiate hs,,"detroit collegiate preparatory high school at northwestern, forest park school"
twin lakes (cn),6189,,twin lakes hs,,"great lakes bay early college, great lakes learning academy mshs"
middleton (wi),6190,,middleton hs,,
midland secondary school (cn),6191,,midland secondary school,,"academy for business and technology high school, actech high school"
allison battening memorial (cn),6192,,battening memorial hs,,
barrie central (cn),6193,,central hs,,"battle creek central high school, bay city central high school"
swanton (oh),6194,,swanton hs,,
dayton dunbar (oh),6195,,dunbar hs,,
fort wayne snider (in),6196,,snider hs,,
plymouth (wi),6197,,plymouth hs,,"plymouth high school, plymouth christian academy"
new holstein (wi),6198,,new holstein hs,,"new beginnings alternative high school, new buffalo senior high school"
rochester webster (ny),6199,,webster hs,,"rochester community schools virtual campus, rochester hills christian school"
buffalo turner-carol (ny),6200,,turner-carol hs,,
clarence (ny),6201,,clarence hs,,
cincinnati aiken (oh),6202,,aiken hs,,
cincinnati william woodward (oh),6203,,william woodward hs,,
st. bernard roger bacon (oh),6204,,roger bacon hs,,"virtual learning academyof st clair county, st mary school"
cincinnati colerain (oh),6205,,colerain hs,,
springfield south (oh),6206,,springfield south hs,,capstone academy charter school sda south campus
clayton northmont (oh),6207,,northmont hs,,
kansas lakota (oh),6208,,lakota hs,,
lancaster (oh),6209,,lancaster hs,,
platteville (wi),6210,,platteville hs,,
palmyra-eagle (wi),6211,,palmyra-eagle hs,,lighthouse academy eagle village
manitowac lutheran (wi),6212,,manitowac lutheran hs,,huron valley lutheran high school
stockbridge (wi),6213,,stockbridge hs,,stockbridge jrsr high school
brookfield academy (wi),6214,,brookfield academy hs,,"academic and career education academy, academy 21"
beaver dam wayland academy (wi),6215,,wayland academy hs,,"54th street academy, academy 21"
fondulac winnebago lutheran (wi),6216,,winnebago lutheran hs,,
greendale martin luther (wi),6217,,martin luther hs,,martin high school
delafield st johns military (wi),6218,,st johns military hs,,"st clair high school, st johns high school"
tiffin calvert catholic (oh),6219,,calvert catholic hs,,
fremont st joseph central catholic (oh),6220,,st joseph central catholic hs,,"central academy, central high school"
barrie eastview (cn),6221,,eastview hs,,
penetang (cn),6222,,penetang hs,,
elkhart concord (in),6223,,concord hs,,
auburndale (wi),6224,,auburndale hs,,
cadott (wi),6225,,cadott hs,,
altoona (wi),6226,,altoona hs,,
loyal (wi),6227,,loyal hs,,
neillsville (wi),6228,,neillsville hs,,
osseo-fairchild (wi),6229,,osseo-fairchild hs,,
stanley-boyd (wi),6230,,stanley-boyd hs,,
garrett (in),6231,,garrett hs,,arts academy in the woods
frederic (wi),6232,,frederic hs,,
chicago corliss (il),6233,,corliss hs,,
chicago st martin deporres (il),6234,,st martin de porres hs,,"martin high school, st clair high school"
elkhart jamboree (in),6236,,jamboree hs,,
rosholt (wi),6237,,rosholt hs,,
michigan city (in),6238,,michigan city hs,,"bay city academy farragut campus, bay city adult educationctp"
sidney (oh),6239,,sidney hs,,
ironton (oh),6240,,ironton hs,,
shaker heights (oh),6241,,shaker heights hs,,"dearborn heights virtual academy, godwin heights learning center"
milwaukee washington (wi),6242,,washington/metro hs,,
brookfield central (wi),6243,,brookfield central hs,,"central michigan correctional facility, central montcalm middle high school"
milwaukee custer-thomas edison (wi),6244,,custer/thomas edison hs,Cougars,edison
milwaukee morse-marshall (wi),6245,,milwaukee samuel morse marshall (wi),,marshall academy
milwaukee madison (wi),6246,,milwaukee madison hs,,madison school
milwaukee vincent (wi),6247,,milwaukee vincent hs,,
gary wirt (in),6248,,gary wirt hs,Troopers,arts academy in the woods
freedom (wi),6249,,freedom hs,,"freedom acres school, freedom christian school"
tallmadge (oh),6250,,tallmadge hs,,
archbold (oh),6251,,archbold hs,,
minocqua lakeland (wi),6252,,lakeland hs,Thunderbirds,
south milwaukee (wi),6253,,south milwaukee hs,,"capstone academy charter school sda south campus, grosse pointe south high school"
racine park (wi),6254,,racine park hs,,"allen park community school, chandler park academy high school"
west allis central (wi),6255,,west allis central hs,,"academy west alternative education, central michigan correctional facility"
west allis hale (wi),6256,,west allis hale hs,,"academy west alternative education, hope academy of west michigan"
waukesha north (wi),6257,,waukesha north hs,,"grosse pointe north high school, lighthouse academy north campus"
racine horlick (wi),6258,,racine horlick hs,,
waukesha east (wi),6259,,waukesha east hs,,"covenant house academy detroit east site, east china virtual academy"
crown point (in),6260,,crown point hs,,arts academy in the woods
kenosha st joseph (wi),6261,,st joseph hs,,"st charles community middlehigh school, st clair county intervention academy"
chardon (oh),6262,,chardon hs,,
whitefish bay dominican (wi),6263,,dominican hs,,bay pines center
racine st catherine's (wi),6264,,st catherine's hs,,"st charles community middlehigh school, virtual learning academyof st clair county"
milwaukee lutheran (wi),6265,,milwaukee lutheran hs,,huron valley lutheran high school
st john lake central (in),6266,,lake central hs,,"central academy, central michigan correctional facility"
menasha st mary cathedral (wi),6267,,st mary cathedral hs,,"st mary school, st patrick school"
weyauwega fremont (wi),6268,,weyauwega fremont hs,,
prentice (wi),6269,,prentice hs,,
elmore woodmore (oh),6270,,woodmore hs,,
fostoria st  wendelin (oh),6271,,st  wendelin hs,,"st charles community middlehigh school, virtual learning academyof st clair county"
chicago mt carmel (il),6272,,mt carmel hs,,mt morris education and community center
columbus bishop hartley (oh),6273,,bishop hartley hs,,
toledo central catholic (oh),6274,,central catholic hs,,"central academy, covenant house academy detroit central site"
chicago simeon (il),6275,,simeon hs,,
chicago gordon tech (il),6276,,gordon tech hs,,van buren tech
chicago brother rice (il),6277,,brother rice hs,,
delta (oh),6278,,delta hs,,
foley (mn),6279,,foley hs,,bishop foley catholic high school
moorhead (mn),6280,,moorhead hs,,
milaca (mn),6281,,milaca hs,,
superior (mn),6282,,superior hs,,superior central school
bemidji (mn),6283,,bemidji hs,,
zimmerman (mn),6284,,zimmerman hs,,
duluth central (mn),6285,,central hs,,"battle creek central high school, bay city central high school"
duluth denfield (mn),6286,,denfield hs,,
windsor riverside (cn),6287,,riverside hs,,
belleviner (cn),6288,,belleviner hs,,
shawnee (cn),6289,,shawnee hs,,
moline east moline (il),6290,,east moline hs,,"covenant house academy detroit east site, east english village preparatory academy"
mukwonago (wi),6291,,mukwonago hs,,
north ridgeville (oh),6292,,north ridgeville hs,,"grosse pointe north high school, lighthouse academy north campus"
north olmsted (oh),6293,,north olmsted hs,,"grosse pointe north high school, lighthouse academy north campus"
wayland (in),6294,,wayland hs,,"arts academy in the woods, wayland high school"
worthington kilbourne (oh),6295,,worthington kilbourne hs,,
huber heights wayne (oh),6296,,wayne hs,,link learning grand rapids alger heights
troy (oh),6297,,troy hs,,"troy college and career high school, troy high school"
trotwood-madison (oh),6298,,trotwood-madison hs,,madison preparatory high school
new carlisle tecumseh (oh),6299,,tecumseh hs,,"new beginnings alternative high school, new school high"
piqua (oh),6300,,piqua hs,,
mansfield (oh),6301,,mansfield hs,,
wapakoneta (oh),6302,,wapakoneta hs,,
mansfield madison (oh),6303,,madison hs,,madison school
lexington (oh),6304,,lexington hs,,
palos heights chicago christian (il),6305,,chicago christian hs,,"algoma christian school, faith christian school"
st charles valley lutheran (il),6306,,valley lutheran hs,,"huron valley womens, river valley academy"
westmont (il),6307,,westmont hs,,
lisle (il),6308,,lisle hs,,
melrose park walther christian (il),6309,,walther christian academy (il),,"allen park high school, forest park school"
aurora central catholic (il),6310,,catholic central hs,,"central academy, covenant house academy detroit central site"
chicago luther north (il),6311,,luther north hs,,"martin luther king jr senior high school, north central area senior high school"
la grange park nazareth (il),6312,,nazareth academy hs,,"forest park school, progress park"
chicago luther south (il),6313,,luther south hs,Braves,"capstone academy charter school sda south campus, martin luther king jr senior high school"
mora (mn),6314,,mora hs,,
deforest (wi),6315,,deforest hs,,
connelsville (pa),6316,,connelsville hs,,
uniontown (pa),6317,,uniontown hs,,
pittsburgh north hills (pa),6318,,north hills hs,,"high school north, north edbridgeway"
pittsburgh plum (pa),6319,,plum hs,,
bethal park (pa),6320,,bethal park hs,,"allen park community school, chandler park academy high school"
pittsburgh woodland hills (pa),6321,,woodland hills hs,,
monroeville gateway (pa),6322,,gateway hs,,gateway to collegemott community college
pittsburgh central catholic (pa),6323,,central catholic hs,,"central academy, central high school"
pittsburgh penn hills (pa),6324,,penn hills hs,,
mckeesport (pa),6325,,mckeesport hs,,
milwaukee north (wi),6326,,milwaukee north hs,,"grosse pointe north high school, lighthouse academy north campus"
tigerton (wi),6327,,tigerton hs,,
cahokia (il),6328,,cahokia hs,,
chillicothe (oh),6329,,chillicothe hs,,
dublin coffman (oh),6330,,dublin coffman hs,,
worthington thomas worthington (oh),6331,,thomas worthington hs,,
westerville north (oh),6332,,westerville north hs,,"north adamsjerome middlehigh school, north central area senior high school"
westerville south (oh),6333,,westerville south hs,,capstone academy charter school sda south campus
galloway westland (oh),6334,,westland hs,,
gahanna columbus academy (oh),6335,,columbus academy hs,,"academy 21, academy for business and technology high school"
spencer (wi),6336,,spencer/columbus catholic hs,,
steubenville catholic central (oh),6337,,catholic central hs,,"central academy, central high school"
uhrichsville claymont (oh),6338,,claymont hs,,
youngstown rayen (oh),6339,,rayen hs,,
akron archbishop hoban (oh),6340,,archbishop hoban hs,,
carrollton (oh),6341,,carrollton hs,,carrollton high school
louisville st thomas aquinas (oh),6342,,st thomas aquinas hs,,"st clair high school, st johns high school"
toledo portsmouth (oh),6343,,portsmouth hs,,
zoarville tuscarawas valley (oh),6344,,tuscarawas valley hs,,"huron valley womens, river valley academy"
struthers (oh),6345,,struthers hs,,
salem (oh),6346,,salem hs,,salem high school
canfield (oh),6347,,canfield hs,,
girard (oh),6348,,girard hs,,
merrillville (in),6349,,merrillville hs,,arts academy in the woods
