MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
hammond gavit (in),6185,,Hammond Gavit HS,,,
barrie north collegiate (cn),6186,,North Collegiate HS,Vikings,"detroit collegiate preparatory high school at northwestern, high school north",
barrie innisdale (cn),6187,,Innisdale HS,,,
orillia park st collegiate (cn),6188,,Park St Collegiate HS,,"detroit collegiate preparatory high school at northwestern, forest park school",
twin lakes (cn),6189,,Twin Lakes HS,,"great lakes bay early college, great lakes learning academy mshs",
middleton (wi),6190,,Middleton HS,,,
midland secondary school (cn),6191,,Midland Secondary School,,"academy for business and technology high school, actech high school",
allison battening memorial (cn),6192,,Battening Memorial HS,,,
barrie central (cn),6193,,Central HS,,"battle creek central high school, bay city central high school",
swanton (oh),6194,,Swanton HS,,,
dayton dunbar (oh),6195,,Dunbar HS,,,
fort wayne snider (in),6196,,Snider HS,,,
plymouth (wi),6197,,Plymouth HS,,"plymouth high school, plymouth christian academy",
new holstein (wi),6198,,New Holstein HS,,"new beginnings alternative high school, new buffalo senior high school",
rochester webster (ny),6199,,Webster HS,,"rochester community schools virtual campus, rochester hills christian school",
buffalo turner-carol (ny),6200,,Turner-Carol HS,,,
clarence (ny),6201,,Clarence HS,,,
cincinnati aiken (oh),6202,,Aiken HS,,,
cincinnati william woodward (oh),6203,,William Woodward HS,,,
st. bernard roger bacon (oh),6204,,Roger Bacon HS,,"virtual learning academyof st clair county, st mary school",
cincinnati colerain (oh),6205,,Colerain HS,,,
springfield south (oh),6206,,Springfield South HS,,capstone academy charter school sda south campus,
clayton northmont (oh),6207,,Northmont HS,,,
kansas lakota (oh),6208,,Lakota HS,,,
lancaster (oh),6209,,Lancaster HS,,,
platteville (wi),6210,,Platteville HS,,,
palmyra-eagle (wi),6211,,Palmyra-Eagle HS,,lighthouse academy eagle village,
manitowac lutheran (wi),6212,,Manitowac Lutheran HS,,huron valley lutheran high school,00644409
stockbridge (wi),6213,,Stockbridge HS,,stockbridge jrsr high school,
brookfield academy (wi),6214,,Brookfield Academy HS,,"academic and career education academy, academy 21",
beaver dam wayland academy (wi),6215,,Wayland Academy HS,,"54th street academy, academy 21",
fondulac winnebago lutheran (wi),6216,,Winnebago Lutheran HS,,,
greendale martin luther (wi),6217,,Martin Luther HS,,martin high school,
delafield st johns military (wi),6218,,St Johns Military HS,,"st clair high school, st johns high school",
tiffin calvert catholic (oh),6219,,Calvert Catholic HS,,,
fremont st joseph central catholic (oh),6220,,St Joseph Central Catholic HS,,"central academy, central high school",
barrie eastview (cn),6221,,Eastview HS,,,
penetang (cn),6222,,Penetang HS,,,
elkhart concord (in),6223,,Concord HS,,,
auburndale (wi),6224,,Auburndale HS,,,
cadott (wi),6225,,Cadott HS,,,
altoona (wi),6226,,Altoona HS,,,
loyal (wi),6227,,Loyal HS,,,
neillsville (wi),6228,,Neillsville HS,,,
osseo-fairchild (wi),6229,,Osseo-Fairchild HS,,,
stanley-boyd (wi),6230,,Stanley-Boyd HS,,,
garrett (in),6231,,Garrett HS,,arts academy in the woods,
frederic (wi),6232,,Frederic HS,,,
chicago corliss (il),6233,,Corliss HS,,,
chicago st martin deporres (il),6234,,St Martin De Porres HS,,"martin high school, st clair high school",
elkhart jamboree (in),6236,,Jamboree HS,,,
rosholt (wi),6237,,Rosholt HS,,,
michigan city (in),6238,,Michigan City HS,,"bay city academy farragut campus, bay city adult educationctp",
sidney (oh),6239,,Sidney HS,,,
ironton (oh),6240,,Ironton HS,,,
shaker heights (oh),6241,,Shaker Heights HS,,"dearborn heights virtual academy, godwin heights learning center",
milwaukee washington (wi),6242,,Washington/Metro HS,,,
brookfield central (wi),6243,,Brookfield Central HS,,"central michigan correctional facility, central montcalm middle high school",
milwaukee custer-thomas edison (wi),6244,,Custer/Thomas Edison HS,Cougars,edison,
milwaukee morse-marshall (wi),6245,,Milwaukee Samuel Morse Marshall (WI),,marshall academy,
milwaukee madison (wi),6246,,Milwaukee Madison HS,,madison school,
milwaukee vincent (wi),6247,,Milwaukee Vincent HS,,,
gary wirt (in),6248,,Gary Wirt HS,Troopers,arts academy in the woods,
freedom (wi),6249,,Freedom HS,,"freedom acres school, freedom christian school",
tallmadge (oh),6250,,Tallmadge HS,,,
archbold (oh),6251,,Archbold HS,,,
minocqua lakeland (wi),6252,,Lakeland HS,Thunderbirds,,
south milwaukee (wi),6253,,South Milwaukee HS,,"capstone academy charter school sda south campus, grosse pointe south high school",
racine park (wi),6254,,Racine Park HS,,"allen park community school, chandler park academy high school",
west allis central (wi),6255,,West Allis Central HS,,"academy west alternative education, central michigan correctional facility",
west allis hale (wi),6256,,West Allis Hale HS,,"academy west alternative education, hope academy of west michigan",
waukesha north (wi),6257,,Waukesha North HS,,"grosse pointe north high school, lighthouse academy north campus",
racine horlick (wi),6258,,Racine Horlick HS,,,
waukesha east (wi),6259,,Waukesha East HS,,"covenant house academy detroit east site, east china virtual academy",
crown point (in),6260,,Crown Point HS,,arts academy in the woods,
kenosha st joseph (wi),6261,,St Joseph HS,,"st charles community middlehigh school, st clair county intervention academy",
chardon (oh),6262,,Chardon HS,,,
whitefish bay dominican (wi),6263,,Dominican HS,,bay pines center,
racine st catherine's (wi),6264,,St Catherine's HS,,"st charles community middlehigh school, virtual learning academyof st clair county",
milwaukee lutheran (wi),6265,,Milwaukee Lutheran HS,,huron valley lutheran high school,00644409
st john lake central (in),6266,,Lake Central HS,,"central academy, central michigan correctional facility",
menasha st mary cathedral (wi),6267,,St Mary Cathedral HS,,"st mary school, st patrick school",
weyauwega fremont (wi),6268,,Weyauwega Fremont HS,,,
prentice (wi),6269,,Prentice HS,,,
elmore woodmore (oh),6270,,Woodmore HS,,,
fostoria st  wendelin (oh),6271,,St  Wendelin HS,,"st charles community middlehigh school, virtual learning academyof st clair county",
chicago mt carmel (il),6272,,Mt Carmel HS,,mt morris education and community center,
columbus bishop hartley (oh),6273,,Bishop Hartley HS,,,
toledo central catholic (oh),6274,,Central Catholic HS,,"central academy, covenant house academy detroit central site",
chicago simeon (il),6275,,Simeon HS,,,
chicago gordon tech (il),6276,,Gordon Tech HS,,van buren tech,
chicago brother rice (il),6277,,Brother Rice HS,,,
delta (oh),6278,,Delta HS,,,
foley (mn),6279,,Foley HS,,bishop foley catholic high school,00637209
moorhead (mn),6280,,Moorhead HS,,,
milaca (mn),6281,,Milaca HS,,,
superior (mn),6282,,Superior HS,,superior central school,
bemidji (mn),6283,,Bemidji HS,,,
zimmerman (mn),6284,,Zimmerman HS,,,
duluth central (mn),6285,,Central HS,,"battle creek central high school, bay city central high school",
duluth denfield (mn),6286,,Denfield HS,,,
windsor riverside (cn),6287,,Riverside HS,,,
belleviner (cn),6288,,Belleviner HS,,,
shawnee (cn),6289,,Shawnee HS,,,
moline east moline (il),6290,,East Moline HS,,"covenant house academy detroit east site, east english village preparatory academy",
mukwonago (wi),6291,,Mukwonago HS,,,
north ridgeville (oh),6292,,North Ridgeville HS,,"grosse pointe north high school, lighthouse academy north campus",
north olmsted (oh),6293,,North Olmsted HS,,"grosse pointe north high school, lighthouse academy north campus",
wayland (in),6294,,Wayland HS,,"arts academy in the woods, wayland high school",
worthington kilbourne (oh),6295,,Worthington Kilbourne HS,,,
huber heights wayne (oh),6296,,Wayne HS,,link learning grand rapids alger heights,
troy (oh),6297,,Troy HS,,"troy college and career high school, troy high school",
trotwood-madison (oh),6298,,Trotwood-Madison HS,,madison preparatory high school,
new carlisle tecumseh (oh),6299,,Tecumseh HS,,"new beginnings alternative high school, new school high",
piqua (oh),6300,,Piqua HS,,,
mansfield (oh),6301,,Mansfield HS,,,
wapakoneta (oh),6302,,Wapakoneta HS,,,
mansfield madison (oh),6303,,Madison HS,,madison school,
lexington (oh),6304,,Lexington HS,,,
palos heights chicago christian (il),6305,,Chicago Christian HS,,"algoma christian school, faith christian school",
st charles valley lutheran (il),6306,,Valley Lutheran HS,,"huron valley womens, river valley academy",
westmont (il),6307,,Westmont HS,,,
lisle (il),6308,,Lisle HS,,,
melrose park walther christian (il),6309,,Walther Christian Academy (IL),,"allen park high school, forest park school",
aurora central catholic (il),6310,,Catholic Central HS,,"central academy, covenant house academy detroit central site",
chicago luther north (il),6311,,Luther North HS,,"martin luther king jr senior high school, north central area senior high school",
la grange park nazareth (il),6312,,Nazareth Academy HS,,"forest park school, progress park",
chicago luther south (il),6313,,Luther South HS,Braves,"capstone academy charter school sda south campus, martin luther king jr senior high school",
mora (mn),6314,,Mora HS,,,
deforest (wi),6315,,Deforest HS,,,
connelsville (pa),6316,,Connelsville HS,,,
uniontown (pa),6317,,Uniontown HS,,,
pittsburgh north hills (pa),6318,,North Hills HS,,"high school north, north edbridgeway",
pittsburgh plum (pa),6319,,Plum HS,,,
bethal park (pa),6320,,Bethal Park HS,,"allen park community school, chandler park academy high school",
pittsburgh woodland hills (pa),6321,,Woodland Hills HS,,,
monroeville gateway (pa),6322,,Gateway HS,,gateway to collegemott community college,
pittsburgh central catholic (pa),6323,,Central Catholic HS,,"central academy, central high school",
pittsburgh penn hills (pa),6324,,Penn Hills HS,,,
mckeesport (pa),6325,,Mckeesport HS,,,
milwaukee north (wi),6326,,Milwaukee North HS,,"grosse pointe north high school, lighthouse academy north campus",
tigerton (wi),6327,,Tigerton HS,,,
cahokia (il),6328,,Cahokia HS,,,
chillicothe (oh),6329,,Chillicothe HS,,,
dublin coffman (oh),6330,,Dublin Coffman HS,,,
worthington thomas worthington (oh),6331,,Thomas Worthington HS,,,
westerville north (oh),6332,,Westerville North HS,,"north adamsjerome middlehigh school, north central area senior high school",
westerville south (oh),6333,,Westerville South HS,,capstone academy charter school sda south campus,
galloway westland (oh),6334,,Westland HS,,,
gahanna columbus academy (oh),6335,,Columbus Academy HS,,"academy 21, academy for business and technology high school",
spencer (wi),6336,,Spencer/Columbus Catholic HS,,,
steubenville catholic central (oh),6337,,Catholic Central HS,,"central academy, central high school",
uhrichsville claymont (oh),6338,,Claymont HS,,,
youngstown rayen (oh),6339,,Rayen HS,,,
akron archbishop hoban (oh),6340,,Archbishop Hoban HS,,,
carrollton (oh),6341,,Carrollton HS,,carrollton high school,
louisville st thomas aquinas (oh),6342,,St Thomas Aquinas HS,,"st clair high school, st johns high school",
toledo portsmouth (oh),6343,,Portsmouth HS,,,
zoarville tuscarawas valley (oh),6344,,Tuscarawas Valley HS,,"huron valley womens, river valley academy",
struthers (oh),6345,,Struthers HS,,,
salem (oh),6346,,Salem HS,,salem high school,
canfield (oh),6347,,Canfield HS,,,
girard (oh),6348,,Girard HS,,,
merrillville (in),6349,,Merrillville HS,,arts academy in the woods,
poland seminary (oh),6350,,Poland Seminary HS,,,
warren john f kennedy (oh),6351,,John F Kennedy HS,,"kennedy center, warren consolidated community high school",
essex (cn),6352,,Essex HS,,,
windsor brennan catholic (cn),6353,,Brennan Catholic HS,,,
jamestown greenview (oh),6354,,Greenview HS,,,
frankfort adena (oh),6355,,Adena HS,,,
east canton (oh),6356,,East Canton HS,,"canton preparatory high school, covenant house academy detroit east site",
dayton jefferson township (oh),6357,,Jefferson Township HS,,,
cleveland glenville (oh),6358,,Glenville HS,,,
proctorville fairland (oh),6359,,Fairland HS,,,
park forest rich east (il),6360,,Rich East HS,,"covenant house academy detroit east site, east english village preparatory academy",
green bay notre dame academy (wi),6361,,Notre Dame Academy HS,,"54th street academy, academy 21",
south wayne black hawk (wi),6362,,Black Hawk HS,,"capstone academy charter school sda south campus, way south haven",
garfield heights (oh),6363,,Garfield Heights HS,,"dearborn heights virtual academy, godwin heights learning center",
amery (wi),6364,,Amery HS,,,
indianapolis roncalli (in),6365,,Indianapolis Roncalli HS,,,
youngstown ursuline (oh),6366,,Ursuline HS,,,
two rivers (wi),6367,,Two Rivers HS,,three rivers high school,
sarnia st patrick (cn),6368,,St Patrick HS,,"st charles community middlehigh school, st clair county intervention academy",
sarnia northern collegiate (cn),6369,,Northern Collegiate HS,,"detroit collegiate preparatory high school at northwestern, northern high school",
sarnia collegiate (cn),6370,,Sarnia Collegiate HS,,"detroit collegiate preparatory high school at northwestern, michigan collegiate middlehigh school",
sarnia st clair  (cn),6371,,St Clair,,"st charles community middlehigh school, st clair county intervention academy",
petrolia lampton central collegiate (cn),6372,,Lampton Central Collegiate,,"central academy, central high school",
hartland arrowhead (wi),6373,,Arrowhead Union HS,,,
windsor kennedy (cn),6374,,Kennedy HS,,,
windsor cardinal carter (cn),6375,,Cardinal Carter HS,,,
leamington (cn),6376,,Leamington HS,,,
oak park-river forest (il),6377,,Oak Park-River Forest HS,,"progress park, river rouge alternative virtual academy",
downers grove south (il),6378,,Downers Grove South HS,,"capstone academy charter school sda south campus, lincolnking adams young school grove campus",
downers grove north (il),6379,,Downers Grove North HS,,"lincolnking adams young school grove campus, maple grove alternative high school",
elmhurst york (il),6380,,York HS,,,
glen ellyn glenbard west (il),6381,,Glenbard West HS,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west",
versailles (oh),6382,,Versailles HS,,,
urbana (oh),6383,,Urbana HS,,,
greenville (oh),6384,,Greenville HS,,greenville senior high school,
vandalia butler (oh),6385,,Butler HS,,,
windsor catholic central (cn),6386,,Catholic Central HS,,"central academy, covenant house academy detroit central site",
windsor holy names (cn),6387,,Holy Names HS,,,
antwerp (oh),6388,,Antwerp HS,,,
mooseheart (il),6389,,Mooseheart HS,,,
mc comb (oh),6390,,Mc Comb HS,,,
northwood (wi),6391,,Northwood/Solon Springs HS,,,
